Rk,Tm▲,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Arizona Cardinals,16,479,2237,22,69,4.7,139.8,22,49.64
2,Atlanta Falcons,16,409,1532,13,62,3.7,95.8,16,-17.02
3,Baltimore Ravens,16,555,3071,24,72,5.5,191.9,25,116.76
4,Buffalo Bills,16,411,1723,16,51,4.2,107.7,18,-1.50
5,Carolina Panthers,16,407,1704,19,45,4.2,106.5,13,20.87
6,Chicago Bears,16,393,1647,12,80,4.2,102.9,20,1.57
7,Cincinnati Bengals,16,411,1668,13,55,4.1,104.3,20,-28.73
8,Cleveland Browns,16,495,2374,21,59,4.8,148.4,23,33.06
9,Dallas Cowboys,16,430,1788,14,42,4.2,111.8,19,21.70
10,Denver Broncos,16,442,1918,13,65,4.3,119.9,23,-13.97
11,Detroit Lions,16,367,1499,17,54,4.1,93.7,13,-12.40
12,Green Bay Packers,16,443,2118,16,77,4.8,132.4,11,43.48
13,Houston Texans,16,344,1466,10,48,4.3,91.6,21,-9.85
14,Indianapolis Colts,16,459,1996,20,62,4.3,124.8,8,12.49
15,Jacksonville Jaguars,16,337,1519,9,47,4.5,94.9,16,9.41
16,Kansas City Chiefs,16,403,1799,13,32,4.5,112.4,19,31.62
17,Las Vegas Raiders,16,457,1916,20,43,4.2,119.8,24,17.40
18,Los Angeles Chargers,16,466,1784,12,36,3.8,111.5,16,-15.56
19,Los Angeles Rams,16,473,2018,19,61,4.3,126.1,19,-21.02
20,Miami Dolphins,16,428,1688,15,31,3.9,105.5,17,-19.99
21,Minnesota Vikings,16,468,2283,20,70,4.9,142.7,22,32.49
22,New England Patriots,16,502,2346,20,49,4.7,146.6,19,57.63
23,New Orleans Saints,16,494,2265,30,49,4.6,141.6,27,49.14
24,New York Giants,16,399,1768,13,80,4.4,110.5,20,-2.39
25,New York Jets,16,406,1683,9,46,4.1,105.2,8,-6.76
26,Philadelphia Eagles,16,403,2027,16,82,5.0,126.7,31,30.39
27,Pittsburgh Steelers,16,373,1351,12,59,3.6,84.4,22,-45.84
28,San Francisco 49ers,16,437,1889,19,80,4.3,118.1,20,-18.51
29,Seattle Seahawks,16,411,1971,15,50,4.8,123.2,14,26.56
30,Tampa Bay Buccaneers,16,369,1519,16,98,4.1,94.9,12,-11.99
31,Tennessee Titans,16,521,2690,26,94,5.2,168.1,15,58.09
32,Washington Football Team,16,400,1611,18,40,4.0,100.7,24,19.76
